,x,y,xt,yt
63,245.25442504882812,305.1689758300781,252.03274536132812,302.9529113769531
64,497.2906188964844,285.1074523925781,500.7027893066406,285.87200927734375
65,463.3845520019531,283.36468505859375,467.60577392578125,284.35260009765625
66,61.31482696533203,281.8902282714844,62.17234420776367,281.6679382324219
67,93.10289001464844,280.48553466796875,94.4424819946289,280.0599060058594
68,429.8261413574219,282.1787414550781,435.3524475097656,283.5370178222656
69,397.1907043457031,282.5233459472656,404.2152404785156,284.4805908203125
70,124.3726577758789,278.53790283203125,126.44525909423828,277.852294921875
71,284.4007568359375,277.5967102050781,300.85260009765625,276.8663635253906
72,155.350341796875,277.3796081542969,158.65927124023438,276.25762939453125
73,494.43341064453125,252.95217895507812,498.28741455078125,253.3203125
74,30.672386169433594,252.39227294921875,31.417295455932617,252.27561950683594
75,62.709388732910156,251.66116333007812,63.651817321777344,251.56886291503906
76,461.35888671875,250.91139221191406,466.1279602050781,251.17523193359375
77,94.51881408691406,250.3827667236328,96.03044891357422,250.30026245117188
78,428.20703125,250.02420043945312,434.5123291015625,250.45860290527344
79,396.9322814941406,250.13360595703125,405.6518859863281,250.71034240722656
80,156.21726989746094,247.9859619140625,159.90696716308594,247.18418884277344
81,125.03475952148438,249.45053100585938,127.25865936279297,249.04376220703125
82,31.769559860229492,222.5775146484375,32.228254318237305,222.54977416992188
83,63.52781677246094,221.62640380859375,64.41927719116211,221.6065216064453
84,492.6300048828125,221.66317749023438,496.5193176269531,221.57894897460938
85,94.9757080078125,220.79393005371094,96.27752685546875,220.68115234375
86,125.56774139404297,220.1764678955078,127.56201171875,219.986083984375
87,458.3113708496094,219.47576904296875,463.30987548828125,219.06129455566406
88,426.3533935546875,218.22450256347656,432.80389404296875,217.5435333251953
89,315.80889892578125,213.87147521972656,336.3195495605469,208.5910186767578
90,286.0093994140625,213.83193969726562,305.2355651855469,208.25155639648438
91,64.36211395263672,192.0292510986328,65.05795669555664,192.17068481445312
92,33.08345031738281,192.5765838623047,33.512691497802734,192.7626190185547
93,125.2054443359375,190.95028686523438,126.7613525390625,191.15419006347656
94,95.34900665283203,191.3601837158203,96.39679718017578,191.4968719482422
95,490.9462890625,189.82989501953125,494.5784606933594,189.13023376464844
96,310.8183288574219,182.61154174804688,326.8183288574219,175.33486938476562
97,186.17137145996094,189.53302001953125,190.380126953125,189.4045867919922
98,457.0458679199219,188.60284423828125,461.661376953125,187.443115234375
99,217.07528686523438,188.04327392578125,224.5054931640625,186.60702514648438
100,423.85845947265625,186.98683166503906,429.65228271484375,185.30581665039062
101,95.34720611572266,162.76217651367188,95.88461303710938,163.01467895507812
102,33.874759674072266,163.04835510253906,34.19575119018555,163.16009521484375
103,273.1477355957031,155.66766357421875,280.508544921875,150.1540985107422
